,customername,reviews,stars
0,alimpan pal.,IS THIS IT FINALLY? SLOW FINGERPRINT SCANNER?,3.0 out of 5 stars
1,Divya Kothari,"After a weeks use, I feel this phone is awesome even with a few flaws or glitches, Details below:",4.0 out of 5 stars
2,Arun kumar T.A,Very good,4.0 out of 5 stars
3,Krishna Kumar,Performance from last 4+ years,4.0 out of 5 stars
4,Aayush Patil,Worth Every Rupee!!!,5.0 out of 5 stars
5,Kartik Kumar Agarwal,Amazing performance without breaking the bank!,4.0 out of 5 stars
6,Amazon Customer,Good one,5.0 out of 5 stars
7,Amazon Customer,Good phone but speaker issue,4.0 out of 5 stars
8,nagasatyanarayana,Good Phone,4.0 out of 5 stars
9,Vijay,"Great phone, for it's price and also otherwise",5.0 out of 5 stars
